"SorghumAccessionYellow"	"ExtantLeafNumber_HN"	"ExtantLeafNumber_LN"	"NR_ExtantLeafNumber"
"PI 17548"	10.6666666666667	12	-0.111111111111111
"PI 276837"	9	11	-0.181818181818182
"PI 329435"	13.3333333333333	13	0.0256410256410257
"PI 329440"	12.6666666666667	14	-0.0952380952380953
"PI 34911"	13.3333333333333	17	-0.215686274509804
"PI 533750"	11.3333333333333	9	0.259259259259259
"PI 533752"	12.3333333333333	14	-0.119047619047619
"PI 533754"	10	12	-0.166666666666667
"PI 533755"	11.6666666666667	12	-0.0277777777777778
"PI 533757"	12.3333333333333	13	-0.0512820512820512
"PI 533758"	11	14	-0.214285714285714
"PI 533759"	10.6666666666667	11	-0.0303030303030304
"PI 533760"	14	12	0.166666666666667
"PI 533761"	13.5	15	-0.1
"PI 533766"	12.6666666666667	13	-0.0256410256410257
"PI 533769"	11	11	0
"PI 533785"	10	12	-0.166666666666667
"PI 533789"	12.5	14	-0.107142857142857
"PI 533794"	13.3333333333333	14	-0.0476190476190476
"PI 533799"	12.6666666666667	12	0.0555555555555555
"PI 533800"	14	14	0
"PI 533807"	14	11	0.272727272727273
"PI 533810"	12	13	-0.0769230769230769
"PI 533814"	14	14	0
"PI 533821"	11.3333333333333	14	-0.19047619047619
"PI 533824"	12.6666666666667	11	0.151515151515151
"PI 533830"	11	9	0.222222222222222
"PI 533833"	10.6666666666667	11	-0.0303030303030304
"PI 533841"	12	14	-0.142857142857143
"PI 533842"	13	14	-0.0714285714285714
"PI 533852"	10.5	12	-0.125
"PI 533856"	13.3333333333333	16	-0.166666666666667
"PI 533863"	11	13	-0.153846153846154
"PI 533866"	11.6666666666667	13	-0.102564102564103
"PI 533869"	12	9	0.333333333333333
"PI 533901"	12	11	0.0909090909090909
"PI 533902"	11.6666666666667	13	-0.102564102564103
"PI 533903"	10	10	0
"PI 533910"	12	9	0.333333333333333
"PI 533912"	8	8	0
"PI 533913"	10.6666666666667	12	-0.111111111111111
"PI 533915"	11	12	-0.0833333333333333
"PI 533919"	10	11	-0.0909090909090909
"PI 533924"	10.3333333333333	13	-0.205128205128205
"PI 533927"	11.3333333333333	14	-0.19047619047619
"PI 533936"	11.5	13	-0.115384615384615
