"SorghumAccessionYellow"	"PlantHeight_HN"	"PlantHeight_LN"	"NR_PlantHeight"
"PI 17548"	243.666666666667	248	-0.0174731182795699
"PI 276837"	151	168	-0.101190476190476
"PI 329435"	81.6666666666667	72	0.134259259259259
"PI 329440"	75	78	-0.0384615384615385
"PI 34911"	126	158	-0.20253164556962
"PI 533750"	67.6666666666667	75	-0.0977777777777777
"PI 533752"	86	95	-0.0947368421052632
"PI 533754"	105	107	-0.0186915887850467
"PI 533755"	83.6666666666667	83	0.00803212851405628
"PI 533757"	81.6666666666667	82	-0.00406504065040645
"PI 533758"	97.3333333333333	127	-0.233595800524934
"PI 533759"	65.3333333333333	68	-0.0392156862745099
"PI 533760"	76	80	-0.05
"PI 533761"	103.5	99	0.0454545454545455
"PI 533766"	84.3333333333333	82	0.0284552845528455
"PI 533769"	59.5	60	-0.00833333333333333
"PI 533785"	87.6666666666667	85	0.0313725490196079
"PI 533789"	80	82	-0.024390243902439
"PI 533794"	87	88	-0.0113636363636364
"PI 533799"	71.3333333333333	163	-0.562372188139059
"PI 533800"	98.5	65	0.515384615384615
"PI 533807"	89	117	-0.239316239316239
"PI 533810"	73.5	70	0.05
"PI 533814"	66	72	-0.0833333333333333
"PI 533821"	97.6666666666667	93	0.0501792114695341
"PI 533824"	69.3333333333333	70	-0.00952380952380959
"PI 533830"	64.5	58	0.112068965517241
"PI 533833"	88.3333333333333	85	0.0392156862745097
"PI 533841"	105.666666666667	85	0.243137254901961
"PI 533842"	72.6666666666667	74	-0.018018018018018
"PI 533852"	72	78	-0.0769230769230769
"PI 533856"	84.3333333333333	97	-0.130584192439863
"PI 533863"	124	78	0.58974358974359
"PI 533866"	97.3333333333333	108	-0.0987654320987655
"PI 533869"	98	108	-0.0925925925925926
"PI 533901"	89	85	0.0470588235294118
"PI 533902"	74	72	0.0277777777777778
"PI 533903"	90	77	0.168831168831169
"PI 533910"	75.5	75	0.00666666666666667
"PI 533912"	98.5	90	0.0944444444444444
"PI 533913"	78.3333333333333	79	-0.0084388185654009
"PI 533915"	128.666666666667	131	-0.0178117048346057
"PI 533919"	82.5	80	0.03125
"PI 533924"	68.6666666666667	60	0.144444444444445
"PI 533927"	178	178	0
"PI 533936"	75	90	-0.166666666666667
"PI 533937"	93.3333333333333	98	-0.0476190476190477
"PI 533938"	189	161	0.173913043478261
"PI 533939"	158	156	0.0128205128205128
"PI 533940"	123	108	0.138888888888889
"PI 533943"	86	82	0.048780487804878
