"SorghumAccessionYellow"	"PaniclesPerPlot_HN"	"PaniclesPerPlot_LN"	"NR_PaniclesPerPlot"
"PI 17548"	29.6666666666667	17	0.745098039215686
"PI 276837"	17.3333333333333	17	0.0196078431372548
"PI 329435"	7	1	6
"PI 329440"	16.3333333333333	18	-0.0925925925925927
"PI 48770"	14	12	0.166666666666667
"PI 533750"	17	19	-0.105263157894737
"PI 533752"	16	9	0.777777777777778
"PI 533754"	18.6666666666667	14	0.333333333333333
"PI 533755"	16.6666666666667	7	1.38095238095238
"PI 533757"	14	11	0.272727272727273
"PI 533758"	14	16	-0.125
"PI 533759"	21.3333333333333	19	0.12280701754386
"PI 533760"	12.5	8	0.5625
"PI 533761"	13.5	14	-0.0357142857142857
"PI 533766"	15.6666666666667	17	-0.0784313725490196
"PI 533769"	15.5	14	0.107142857142857
"PI 533785"	21.3333333333333	17	0.254901960784314
"PI 533789"	16	9	0.777777777777778
"PI 533794"	11.6666666666667	10	0.166666666666667
"PI 533799"	10.3333333333333	14	-0.261904761904762
"PI 533800"	15	12	0.25
"PI 533807"	11	6	0.833333333333333
"PI 533810"	11	5	1.2
"PI 533814"	7.66666666666667	7	0.0952380952380953
"PI 533821"	9	13	-0.307692307692308
"PI 533824"	18	16	0.125
"PI 533830"	15.5	6	1.58333333333333
"PI 533833"	22.6666666666667	20	0.133333333333333
"PI 533841"	18	13	0.384615384615385
"PI 533842"	8	3	1.66666666666667
"PI 533852"	5.5	6	-0.0833333333333333
"PI 533856"	12.3333333333333	16	-0.229166666666667
"PI 533863"	20	18	0.111111111111111
"PI 533866"	11.6666666666667	18	-0.351851851851852
"PI 533869"	32	26	0.230769230769231
"PI 533878"	5	7	-0.285714285714286
"PI 533901"	17	20	-0.15
"PI 533902"	13	8	0.625
"PI 533903"	10	14	-0.285714285714286
"PI 533910"	19	16	0.1875
"PI 533912"	17	15	0.133333333333333
"PI 533913"	10	20	-0.5
"PI 533915"	26	23	0.130434782608696
"PI 533919"	13	6	1.16666666666667
"PI 533924"	13.3333333333333	9	0.481481481481482
"PI 533927"	14.6666666666667	13	0.128205128205128
"PI 533936"	15.6666666666667	14	0.119047619047619
"PI 533937"	8	7	0.142857142857143
"PI 533938"	19	15	0.266666666666667
"PI 533939"	18.3333333333333	9	1.03703703703704
"PI 533940"	19.3333333333333	17	0.137254901960784
"PI 533943"	8.66666666666667	12	-0.277777777777778
"PI 533948"	16.3333333333333	13	0.256410256410256
"PI 533949"	17.3333333333333	12	0.444444444444444
"PI 533955"	13.6666666666667	16	-0.145833333333333
"PI 533956"	18	17	0.0588235294117647
"PI 533957"	21.6666666666667	12	0.805555555555556
"PI 533961"	14	5	1.8
"PI 533962"	22.5	24	-0.0625
"PI 533964"	8.5	11	-0.227272727272727
"PI 533965"	29.6666666666667	19	0.56140350877193
"PI 533970"	16	7	1.28571428571429
"PI 533972"	17	10	0.7
"PI 533976"	21	13	0.615384615384615
"PI 533979"	19.5	13	0.5
"PI 533980"	12	14	-0.142857142857143
"PI 533986"	17.3333333333333	10	0.733333333333333
"PI 533987"	19.3333333333333	10	0.933333333333333
"PI 533991"	14	9	0.555555555555556
"PI 533996"	13.3333333333333	7	0.904761904761905
"PI 533997"	27.6666666666667	23	0.202898550724638
"PI 533998"	13.5	15	-0.1
"PI 534009"	15.3333333333333	11	0.393939393939394
"PI 534021"	14.6666666666667	12	0.222222222222222
"PI 534037"	31.6666666666667	34	-0.0686274509803921
"PI 534047"	16.6666666666667	22	-0.242424242424242
"PI 534053"	26.6666666666667	14	0.904761904761905
"PI 534054"	11	11	0
"PI 534063"	23.6666666666667	17	0.392156862745098
"PI 534070"	18.3333333333333	13	0.41025641025641
"PI 534097"	20	13	0.538461538461538
"PI 534099"	24	12	1
"PI 534101"	22	8	1.75
"PI 534104"	13.5	2	5.75
"PI 534105"	21.5	18	0.194444444444444
"PI 534108"	19	12	0.583333333333333
"PI 534112"	21	21	0
"PI 534114"	20.3333333333333	9	1.25925925925926
"PI 534115"	12	14	-0.142857142857143
"PI 534116"	28	16	0.75
"PI 534117"	13.6666666666667	14	-0.0238095238095239
"PI 534123"	15.6666666666667	14	0.119047619047619
"PI 534124"	21	4	4.25
"PI 534127"	22	8	1.75
"PI 534128"	18	9	1
"PI 534133"	14	14	0
"PI 534135"	12.6666666666667	4	2.16666666666667
"PI 534138"	6	5	0.2
"PI 534144"	19.6666666666667	11	0.787878787878788
"PI 534145"	31.6666666666667	22	0.439393939393939
"PI 534148"	13.3333333333333	15	-0.111111111111111
"PI 534155"	14.3333333333333	11	0.303030303030303
"PI 534157"	10	8	0.25
"PI 534163"	10.6666666666667	8	0.333333333333333
"PI 542406"	33	26	0.269230769230769
"PI 542718"	12	12	0
"PI 548797"	9.33333333333333	12	-0.222222222222222
"PI 552861"	13.6666666666667	16	-0.145833333333333
"PI 561072"	6	5	0.2
"PI 561073"	7.66666666666667	9	-0.148148148148148
"PI 564164"	13.3333333333333	15	-0.111111111111111
"PI 564165"	6.33333333333333	2	2.16666666666667
"PI 565121"	6	10	-0.4
"PI 576130"	14.3333333333333	14	0.0238095238095239
"PI 576332"	10	14	-0.285714285714286
"PI 576337"	24.3333333333333	32	-0.239583333333333
"PI 576339"	15.6666666666667	13	0.205128205128205
"PI 576340"	11.6666666666667	11	0.0606060606060606
"PI 576345"	13.6666666666667	12	0.138888888888889
"PI 576348"	33	31	0.0645161290322581
"PI 576352"	9	7	0.285714285714286
"PI 576364"	25.6666666666667	23	0.115942028985507
"PI 576366"	16.6666666666667	8	1.08333333333333
"PI 576373"	17.5	17	0.0294117647058824
"PI 576375"	11.6666666666667	14	-0.166666666666667
"PI 576376"	17	12	0.416666666666667
"PI 576380"	7	4	0.75
"PI 576381"	10	6	0.666666666666667
"PI 576385"	21.6666666666667	15	0.444444444444445
"PI 576386"	8.66666666666667	9	-0.0370370370370371
"PI 576390"	21	21	0
"PI 576394"	10.3333333333333	10	0.0333333333333334
"PI 576399"	18.3333333333333	13	0.41025641025641
"PI 576401"	10	4	1.5
"PI 576418"	17	17	0
"PI 576422"	11.5	14	-0.178571428571429
"PI 576425"	13	1	12
"PI 576426"	8.33333333333333	5	0.666666666666667
"PI 576428"	8.66666666666667	9	-0.0370370370370371
"PI 576435"	17	11	0.545454545454545
"PI 576437"	32.6666666666667	15	1.17777777777778
"PI 585295"	10.5	2	4.25
"PI 595699"	8	5	0.6
"PI 595702"	21.6666666666667	17	0.274509803921569
"PI 595718"	19	16	0.1875
"PI 595720"	14	14	0
"PI 595739"	11.5	10	0.15
"PI 595740"	13.3333333333333	12	0.111111111111111
"PI 595743"	16.6666666666667	2	7.33333333333333
"PI 595744"	16	10	0.6
"PI 595745"	13.5	17	-0.205882352941176
"PI 597945"	6	2	2
"PI 597949"	19.5	13	0.5
"PI 597950"	20.6666666666667	14	0.476190476190476
"PI 597951"	20	19	0.0526315789473684
"PI 597952"	16.5	8	1.0625
"PI 597957"	10.3333333333333	11	-0.0606060606060606
"PI 597958"	14.6666666666667	14	0.0476190476190476
"PI 597960"	14.6666666666667	9	0.62962962962963
"PI 597961"	17.5	12	0.458333333333333
"PI 597964"	14	7	1
"PI 597965"	11.3333333333333	12	-0.0555555555555555
"PI 597967"	8.66666666666667	4	1.16666666666667
"PI 597971"	11.6666666666667	12	-0.0277777777777778
"PI 597972"	13.6666666666667	10	0.366666666666667
"PI 597973"	13.3333333333333	13	0.0256410256410257
"PI 597976"	23.3333333333333	23	0.0144927536231884
"PI 597980"	21.5	19	0.131578947368421
"PI 597982"	20	15	0.333333333333333
"PI 598069"	35	21	0.666666666666667
"PI 601816"	8.66666666666667	4	1.16666666666667
"PI 607931"	14.3333333333333	10	0.433333333333333
"PI 613536"	2.5	3	-0.166666666666667
"PI 629040"	10.6666666666667	8	0.333333333333333
"PI 629059"	15	14	0.0714285714285714
"PI 641874"	14.6666666666667	17	-0.137254901960784
"PI 642791"	13.6666666666667	6	1.27777777777778
"PI 642793"	15.3333333333333	17	-0.0980392156862745
"PI 642992"	10.6666666666667	8	0.333333333333333
"PI 642998"	22	11	1
"PI 655970"	11.5	14	-0.178571428571429
"PI 655971"	16.6666666666667	21	-0.206349206349206
"PI 655974"	12.6666666666667	9	0.407407407407407
"PI 655975"	11.6666666666667	4	1.91666666666667
"PI 655976"	17.3333333333333	11	0.575757575757576
"PI 655977"	15.6666666666667	18	-0.12962962962963
"PI 655978"	9	7	0.285714285714286
"PI 655979"	5.66666666666667	12	-0.527777777777778
"PI 655981"	25.6666666666667	16	0.604166666666667
"PI 655993"	15.6666666666667	11	0.424242424242424
"PI 655994"	19	12	0.583333333333333
"PI 655995"	20	22	-0.0909090909090909
"PI 655996"	15.3333333333333	14	0.0952380952380953
"PI 655997"	11.5	10	0.15
"PI 655998"	12.6666666666667	8	0.583333333333333
"PI 655999"	57	21	1.71428571428571
"PI 656000"	14.6666666666667	9	0.62962962962963
"PI 656002"	11	11	0
"PI 656003"	17	22	-0.227272727272727
"PI 656004"	16.6666666666667	6	1.77777777777778
"PI 656005"	14.3333333333333	9	0.592592592592593
"PI 656006"	14	13	0.0769230769230769
"PI 656007"	10	4	1.5
"PI 656009"	14	7	1
"PI 656010"	15	10	0.5
"PI 656011"	13.3333333333333	18	-0.259259259259259
"PI 656012"	16	15	0.0666666666666667
"PI 656013"	7.5	13	-0.423076923076923
"PI 656014"	20.3333333333333	21	-0.0317460317460318
"PI 656016"	16.3333333333333	9	0.814814814814815
"PI 656017"	15.5	13	0.192307692307692
"PI 656019"	17	8	1.125
"PI 656020"	15.6666666666667	12	0.305555555555556
"PI 656021"	19	14	0.357142857142857
"PI 656022"	11	11	0
"PI 656023"	18.5	9	1.05555555555556
"PI 656024"	9.33333333333333	12	-0.222222222222222
"PI 656025"	9.33333333333333	10	-0.0666666666666666
"PI 656026"	9	7	0.285714285714286
"PI 656028"	27	17	0.588235294117647
"PI 656029"	13.3333333333333	14	-0.0476190476190476
"PI 656030"	14.6666666666667	11	0.333333333333333
"PI 656031"	13.3333333333333	17	-0.215686274509804
"PI 656032"	18.5	7	1.64285714285714
"PI 656034"	9.5	8	0.1875
"PI 656035"	14	16	-0.125
"PI 656036"	12.5	5	1.5
"PI 656037"	11.3333333333333	12	-0.0555555555555555
"PI 656039"	10	7	0.428571428571429
"PI 656041"	14.5	11	0.318181818181818
"PI 656043"	10	4	1.5
"PI 656044"	3.66666666666667	7	-0.476190476190476
"PI 656048"	11	13	-0.153846153846154
"PI 656049"	16.6666666666667	16	0.0416666666666667
"PI 656050"	24.3333333333333	14	0.738095238095238
"PI 656051"	13.6666666666667	10	0.366666666666667
"PI 656052"	17.6666666666667	11	0.606060606060606
"PI 656053"	14.6666666666667	8	0.833333333333333
"PI 656055"	18	13	0.384615384615385
"PI 656056"	11.5	14	-0.178571428571429
"PI 656057"	10.6666666666667	11	-0.0303030303030304
"PI 656058"	11.6666666666667	15	-0.222222222222222
"PI 656059"	14.6666666666667	12	0.222222222222222
"PI 656061"	15	8	0.875
"PI 656068"	14.5	10	0.45
"PI 656069"	11	13	-0.153846153846154
"PI 656070"	14	14	0
"PI 656071"	10.6666666666667	7	0.523809523809524
"PI 656072"	11.6666666666667	8	0.458333333333333
"PI 656074"	24.5	17	0.441176470588235
"PI 656075"	15	12	0.25
"PI 656076"	15	12	0.25
"PI 656077"	24	22	0.0909090909090909
"PI 656079"	15	12	0.25
"PI 656080"	19.6666666666667	18	0.0925925925925927
"PI 656081"	30	15	1
"PI 656082"	15	5	2
"PI 656085"	17	19	-0.105263157894737
"PI 656086"	10.6666666666667	7	0.523809523809524
"PI 656087"	15.6666666666667	20	-0.216666666666667
"PI 656089"	23	13	0.769230769230769
"PI 656091"	12.3333333333333	15	-0.177777777777778
"PI 656092"	22	13	0.692307692307692
"PI 656094"	24.6666666666667	23	0.0724637681159421
"PI 656095"	15.6666666666667	7	1.23809523809524
"PI 656096"	18.6666666666667	15	0.244444444444445
"PI 656097"	5	12	-0.583333333333333
"PI 656099"	11	8	0.375
"PI 656100"	11	4	1.75
"PI 656102"	16.5	13	0.269230769230769
"PI 656105"	20	17	0.176470588235294
"PI 656107"	14	9	0.555555555555556
"PI 656108"	20.3333333333333	14	0.452380952380952
"PI 656109"	22.6666666666667	15	0.511111111111111
"PI 656110"	22.6666666666667	19	0.192982456140351
"PI 656114"	9.33333333333333	8	0.166666666666667
"PI 656116"	28.6666666666667	28	0.0238095238095239
"PI 656117"	7	2	2.5
"PI 656118"	13.5	8	0.6875
"PI 656119"	9.66666666666667	13	-0.256410256410256
"PI 656121"	18	19	-0.0526315789473684
"PI 659691"	22.3333333333333	20	0.116666666666667
"PI 659693"	9	10	-0.1
"PI 659694"	16.3333333333333	17	-0.0392156862745099
"PI 659695"	17.3333333333333	13	0.333333333333333
"PI 659696"	18.3333333333333	15	0.222222222222222
"PI 659753"	7	5	0.4
